file	chunk	row_index	matched_keys	columns	row_json
/home/lwh/projects/lrq_q/ABCoRT-main/gwn/experiments_candidate_filtering/metabobase_tl_exact39/metabobase_s10_missing6_from_metadata.csv	0	0	BXPBSBBFPNFTFT;BXPBSBBFPNFTFT-UHFFFAOYSA-N	"[""s10_row"", ""inchikey"", ""ref_inchikey""]"	"{""s10_row"": ""2"", ""inchikey"": ""BXPBSBBFPNFTFT-UHFFFAOYSA-N"", ""ref_inchikey"": ""BXPBSBBFPNFTFT-UHFFFAOYSA-N""}"
/home/lwh/projects/lrq_q/ABCoRT-main/gwn/experiments_candidate_filtering/metabobase_tl_exact39/metabobase_s10_missing6_from_metadata.csv	0	1	FDRBRRRBUPLHXEM;FDRBRRRBUPLHXEM-PUVROTEMSA-N	"[""s10_row"", ""inchikey"", ""ref_inchikey""]"	"{""s10_row"": ""5"", ""inchikey"": ""FDRBRRRBUPLHXEM-PUVROTEMSA-N"", ""ref_inchikey"": ""FDRBRRRBUPLHXEM-PUVROTEMSA-N""}"
/home/lwh/projects/lrq_q/ABCoRT-main/gwn/experiments_candidate_filtering/metabobase_tl_exact39/metabobase_s10_missing6_from_metadata.csv	0	2	GAMYVSCDDILXAQW;GAMYVSCDDILXAQW-MIUGBVLSSA-N	"[""s10_row"", ""inchikey"", ""ref_inchikey""]"	"{""s10_row"": ""6"", ""inchikey"": ""GAMYVSCDDILXAQW-MIUGBVLSSA-N"", ""ref_inchikey"": ""GAMYVSCDDILXAQW-MIUGBVLSSA-N""}"
/home/lwh/projects/lrq_q/ABCoRT-main/gwn/experiments_candidate_filtering/metabobase_tl_exact39/metabobase_s10_missing6_from_metadata.csv	0	3	GYLUFQJZYAJODI;GYLUFQJZYAJODI-UHFFFAOYSA-N	"[""s10_row"", ""inchikey"", ""ref_inchikey""]"	"{""s10_row"": ""9"", ""inchikey"": ""GYLUFQJZYAJODI-UHFFFAOYSA-N"", ""ref_inchikey"": ""GYLUFQJZYAJODI-UHFFFAOYSA-N""}"
/home/lwh/projects/lrq_q/ABCoRT-main/gwn/experiments_candidate_filtering/metabobase_tl_exact39/metabobase_s10_missing6_from_metadata.csv	0	4	KXPQYWKYYDYOCCQ;KXPQYWKYYDYOCCQ-UHFFFAOYSA-N	"[""s10_row"", ""inchikey"", ""ref_inchikey""]"	"{""s10_row"": ""18"", ""inchikey"": ""KXPQYWKYYDYOCCQ-UHFFFAOYSA-N"", ""ref_inchikey"": ""KXPQYWKYYDYOCCQ-UHFFFAOYSA-N""}"
/home/lwh/projects/lrq_q/ABCoRT-main/gwn/experiments_candidate_filtering/metabobase_tl_exact39/metabobase_s10_missing6_from_metadata.csv	0	5	UKMSUNONTOPQIO;UKMSUNONTOPQIO-UHFFFAOYSA-N	"[""s10_row"", ""inchikey"", ""ref_inchikey""]"	"{""s10_row"": ""35"", ""inchikey"": ""UKMSUNONTOPQIO-UHFFFAOYSA-N"", ""ref_inchikey"": ""UKMSUNONTOPQIO-UHFFFAOYSA-N""}"
/home/lwh/projects/lrq_q/ABCoRT-main/gwn/experiments_candidate_filtering/metabobase_s10_split_audit/missing_from_metabobase_metadata_by_inchikey14.csv	0	0	BXPBSBBFPNFTFT;BXPBSBBFPNFTFT-UHFFFAOYSA-N	"[""ref_inchikey"", ""ref_inchikey14"", ""meta_source_row"", ""meta_name"", ""meta_inchikey"", ""meta_inchikey14"", ""meta_smiles"", ""meta_rt_sec"", ""matched_source_row"", ""matched_name"", ""matched_inchikey"", ""matched_inchikey14"", ""has_meta_match14"", ""has_matched_file_match14""]"	"{""ref_inchikey"": ""BXPBSBBFPNFTFT-UHFFFAOYSA-N"", ""ref_inchikey14"": ""BXPBSBBFPNFTFT"", ""meta_source_row"": """", ""meta_name"": """", ""meta_inchikey"": """", ""meta_inchikey14"": """", ""meta_smiles"": """", ""meta_rt_sec"": """", ""matched_source_row"": """", ""matched_name"": """", ""matched_inchikey"": """", ""matched_inchikey14"": """", ""has_meta_match14"": ""False"", ""has_matched_file_match14"": ""False""}"
/home/lwh/projects/lrq_q/ABCoRT-main/gwn/experiments_candidate_filtering/metabobase_s10_split_audit/missing_from_metabobase_metadata_by_inchikey14.csv	0	1	FDRBRRRBUPLHXEM;FDRBRRRBUPLHXEM-PUVROTEMSA-N	"[""ref_inchikey"", ""ref_inchikey14"", ""meta_source_row"", ""meta_name"", ""meta_inchikey"", ""meta_inchikey14"", ""meta_smiles"", ""meta_rt_sec"", ""matched_source_row"", ""matched_name"", ""matched_inchikey"", ""matched_inchikey14"", ""has_meta_match14"", ""has_matched_file_match14""]"	"{""ref_inchikey"": ""FDRBRRRBUPLHXEM-PUVROTEMSA-N"", ""ref_inchikey14"": ""FDRBRRRBUPLHXEM"", ""meta_source_row"": """", ""meta_name"": """", ""meta_inchikey"": """", ""meta_inchikey14"": """", ""meta_smiles"": """", ""meta_rt_sec"": """", ""matched_source_row"": """", ""matched_name"": """", ""matched_inchikey"": """", ""matched_inchikey14"": """", ""has_meta_match14"": ""False"", ""has_matched_file_match14"": ""False""}"
/home/lwh/projects/lrq_q/ABCoRT-main/gwn/experiments_candidate_filtering/metabobase_s10_split_audit/missing_from_metabobase_metadata_by_inchikey14.csv	0	2	GAMYVSCDDILXAQW;GAMYVSCDDILXAQW-MIUGBVLSSA-N	"[""ref_inchikey"", ""ref_inchikey14"", ""meta_source_row"", ""meta_name"", ""meta_inchikey"", ""meta_inchikey14"", ""meta_smiles"", ""meta_rt_sec"", ""matched_source_row"", ""matched_name"", ""matched_inchikey"", ""matched_inchikey14"", ""has_meta_match14"", ""has_matched_file_match14""]"	"{""ref_inchikey"": ""GAMYVSCDDILXAQW-MIUGBVLSSA-N"", ""ref_inchikey14"": ""GAMYVSCDDILXAQW"", ""meta_source_row"": """", ""meta_name"": """", ""meta_inchikey"": """", ""meta_inchikey14"": """", ""meta_smiles"": """", ""meta_rt_sec"": """", ""matched_source_row"": """", ""matched_name"": """", ""matched_inchikey"": """", ""matched_inchikey14"": """", ""has_meta_match14"": ""False"", ""has_matched_file_match14"": ""False""}"
/home/lwh/projects/lrq_q/ABCoRT-main/gwn/experiments_candidate_filtering/metabobase_s10_split_audit/missing_from_metabobase_metadata_by_inchikey14.csv	0	3	GYLUFQJZYAJODI;GYLUFQJZYAJODI-UHFFFAOYSA-N	"[""ref_inchikey"", ""ref_inchikey14"", ""meta_source_row"", ""meta_name"", ""meta_inchikey"", ""meta_inchikey14"", ""meta_smiles"", ""meta_rt_sec"", ""matched_source_row"", ""matched_name"", ""matched_inchikey"", ""matched_inchikey14"", ""has_meta_match14"", ""has_matched_file_match14""]"	"{""ref_inchikey"": ""GYLUFQJZYAJODI-UHFFFAOYSA-N"", ""ref_inchikey14"": ""GYLUFQJZYAJODI"", ""meta_source_row"": """", ""meta_name"": """", ""meta_inchikey"": """", ""meta_inchikey14"": """", ""meta_smiles"": """", ""meta_rt_sec"": """", ""matched_source_row"": """", ""matched_name"": """", ""matched_inchikey"": """", ""matched_inchikey14"": """", ""has_meta_match14"": ""False"", ""has_matched_file_match14"": ""False""}"
